Volatility 3 Framework 2.8.0

Offset	Start	Size	Service Key	Driver Name	Name

0x1f0b478	0xb1e59000	0x2a180	kmixer	kmixer	\Driver\kmixer
0x1ff32c0	0xf8790000	0x9e80	NDProxy	NDProxy	\Driver\NDProxy
0x1ff3f38	0xf87b0000	0xe880	usbhub	usbhub	\Driver\usbhub
0x1ff4730	0xf8a8a000	0x1100	swenum	swenum	\Driver\swenum
0x1ff51f0	0xf817d000	0x29000	iScsiPrt	iScsiPrt	\Driver\iScsiPrt
0x1ff7838	0xf8780000	0x9f00	TermDD	TermDD	\Driver\TermDD
0x1ff9030	0xf81ce000	0x2fe80	rdpdr	rdpdr	\Driver\rdpdr
0x1ff9180	0xf8108000	0x5df00	Update	Update	\Driver\Update
0x1ffa498	0xf88b0000	0x4080	Raspti	Raspti	\Driver\Raspti
0x2041b10	0xf88d0000	0x4a80	Msfs	Msfs	\FileSystem\Msfs
0x204cda0	0xf88d8000	0x7880	Npfs	Npfs	\FileSystem\Npfs
0x204dda0	0xf88c8000	0x5200	VgaSave	VgaSave	\Driver\VgaSave
0x2056f38	0xf8a92000	0x1080	mnmdd	mnmdd	\Driver\mnmdd
0x2057408	0xb2ef3000	0x58480	Tcpip	Tcpip	\Driver\Tcpip
0x2061ca8	0xb2f4c000	0x12600	IPSec	IPSec	\Driver\IPSec
0x2062340	0xf89e0000	0x2280	RasAcd	RasAcd	\Driver\RasAcd
0x2062be0	0xf8a90000	0x1080	Beep	Beep	\Driver\Beep
0x2063858	0xb2db1000	0x6f280	MRxSmb	MRxSmb	\FileSystem\MRxSmb
0x2065b30	0xf85e0000	0x8700	Wanarp	Wanarp	\Driver\Wanarp
0x206a250	0xf8620000	0xf900	Cdfs	Cdfs	\FileSystem\Cdfs
0x209f4b8	0xf8770000	0xed80	sysaudio	sysaudio	\Driver\sysaudio
0x20afa38	0xb2e86000	0x22580	prl_fs	prl_fs	\FileSystem\prl_fs
0x20c68b0	0xb2064000	0x40a80	HTTP	HTTP	\Driver\HTTP
0x20f4950	0xf8a48000	0x3c80	mssmbios	mssmbios	\Driver\mssmbios
0x210dbb8	0xb24df000	0x23180	Fastfat	Fastfat	\FileSystem\Fastfat
0x212d200	0x0	0x0	\Driver\Win32k	Win32k	\Driver\Win32k
0x212d790	0xb2503000	0xa7400	Hardlock	Hardlock	\Driver\Hardlock
0x2166f10	0xb2bbb000	0x3900	Ndisuio	Ndisuio	\Driver\Ndisuio
0x216e9f8	0xf88a8000	0x4580	Ptilink	Ptilink	\Driver\Ptilink
0x2172da0	0xb2ecb000	0x27c00	NetBT	NetBT	\Driver\NetBT
0x217a030	0xf826d000	0x17800	ac97intc	ac97intc	\Driver\ac97intc
0x217b030	0xf8760000	0x8900	Gpc	Gpc	\Driver\Gpc
0x217d030	0xf8750000	0xbd00	PptpMiniport	PptpMiniport	\Driver\PptpMiniport
0x2180da0	0xf88b8000	0x5000	Flpydisk	Flpydisk	\Driver\Flpydisk
0x2181268	0xf8710000	0xf600	Cdrom	Cdrom	\Driver\Cdrom
