Volatility 3 Framework 2.8.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x823c8a00	57	671	N/A	False	N/A	N/A	-	-	-
* 596	4	smss.exe	0x82292da0	3	19	N/A	False	2010-09-02 12:25:18.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
** 692	596	winlogon.exe	0x822c09f8	21	588	0	False	2010-09-02 12:25:22.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\winlogon.exe	winlogon.exe	\??\C:\WINDOWS\system32\winlogon.exe
*** 744	692	services.exe	0x821a5da0	15	279	0	False	2010-09-02 12:25:22.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
**** 992	744	svchost.exe	0x822c8bf8	10	277	0	False	2010-09-02 12:25:22.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe	C:\WINDOWS\system32\svchost -k rpcss	C:\WINDOWS\system32\svchost.exe
**** 1192	744	svchost.exe	0x8214f488	13	175	0	False	2010-09-02 12:25:23.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService	C:\WINDOWS\system32\svchost.exe
**** 488	744	sqlservr.exe	0x8208abf0	25	306	0	False	2010-09-02 12:25:33.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL\Binn\sqlservr.exe	"c:\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL\Binn\sqlservr.exe" -sSQLEXPRESS	c:\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL\Binn\sqlservr.exe
**** 364	744	svchost.exe	0x82129370	4	88	0	False	2010-09-02 12:25:33.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe	-	-
**** 912	744	svchost.exe	0x82150b90	20	202	0	False	2010-09-02 12:25:22.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe	C:\WINDOWS\system32\svchost -k DcomLaunch	C:\WINDOWS\system32\svchost.exe
**** 1616	744	spoolsv.exe	0x82095500	13	140	0	False	2010-09-02 12:25:24.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\spoolsv.exe	C:\WINDOWS\system32\spoolsv.exe	C:\WINDOWS\system32\spoolsv.exe
