Volatility 3 Framework 2.8.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x823c8a00	0x4	Process	0x1f0fff	System Pid 4
4	System	0x823c8340	0x8	Thread	0x0	Tid 12 Pid 4
4	System	0xe13d21d8	0xc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xe100c448	0x10	Key	0x0	
4	System	0xe13eb558	0x14	Key	0x20019	MACHINE\SYSTEM\WPA\PNP
4	System	0xe13e64f0	0x18	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0xe13de150	0x1c	Key	0x20019	MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
4	System	0xe13d2838	0x20	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xe13df1b0	0x24	Key	0x20019	MACHINE\SYSTEM\WPA\MEDIACENTER
4	System	0xe13ec430	0x28	Key	0x20019	MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
4	System	0xe1036440	0x2c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
4	System	0xe13f1528	0x30	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
4	System	0x823c18b8	0x34	Event	0x1f0003	TRKWKS_EVENT
4	System	0x82050e78	0x84	File	0x12019f	\Device\Tcp
4	System	0xe100d0a8	0x88	Directory	0xf000f	WinDfs
4	System	0x823ad020	0x8c	Thread	0x1f03ff	Tid 96 Pid 4
4	System	0x823e59f8	0x90	Event	0x1f0003	VxKernel2VoldEvent
4	System	0x823cc998	0x9c	Thread	0x0	Tid 104 Pid 4
4	System	0xe13eff58	0xb4	Directory	0xf000f	Harddisk0
4	System	0xe16e6490	0x2ec	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x820bcef0	0x2f0	File	0x12019f	\Device\Tcp
4	System	0xe16afba0	0x2f4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DISK
4	System	0x820c9020	0x2f8	Thread	0x1f03ff	Tid 392 Pid 4
4	System	0x820c4ef0	0x2fc	File	0x12019f	\Device\Tcp
4	System	0xe17af438	0x300	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x821743b0	0x638	File	0x12019f	\Device\Tcp
4	System	0x8206d510	0x63c	File	0x1f01ff	\Device\Tcp
4	System	0x8200e5f8	0x640	File	0x12019f	\Device\Tcp
4	System	0x8200a478	0x644	File	0x12019f	\Device\Tcp
