Volatility 3 Framework 2.8.0

PID	Process	Value	Privilege	Attributes	Description

4	System	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
4	System	2	SeCreateTokenPrivilege	Present	Create a token object
4	System	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
4	System	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
4	System	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
4	System	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
4	System	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
4	System	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
4	System	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
4	System	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
4	System	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
4	System	8	SeSecurityPrivilege	Present	Manage auditing and security log
4	System	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
4	System	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
4	System	17	SeBackupPrivilege	Present	Backup files and directories
4	System	18	SeRestorePrivilege	Present	Restore files and directories
4	System	19	SeShutdownPrivilege	Present	Shut down the system
4	System	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
4	System	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
4	System	12	SeSystemtimePrivilege	Present	Change the system time
4	System	25	SeUndockPrivilege	Present	Remove computer from docking station
4	System	28	SeManageVolumePrivilege	Present	Manage the files on a volume
4	System	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
4	System	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
596	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
596	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
596	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
596	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
596	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
596	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
596	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
596	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
596	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
596	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
596	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
596	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
596	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
596	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
596	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
596	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
596	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
596	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
596	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
596	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
