TaskCategory,host,ComputerName,Image,ProcessId,TargetFilename,TargetObject,CommandLine,ParentProcessId,ParentCommandLine,Hashes
"Registry value set (rule: RegistryEvent)",COMP10,"COMP10.RedAD19.Lab","C:\WINDOWS\system32\svchost.exe",8032,,"HKU\S-1-5-21-1552841522-3835366585-4197357653-1001\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",,,,
"Registry value set (rule: RegistryEvent)",COMP10,"COMP10.RedAD19.Lab","C:\WINDOWS\system32\svchost.exe",8032,,"HKU\S-1-5-21-1552841522-3835366585-4197357653-1001\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",,,,
"Process terminated (rule: ProcessTerminate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,,,,,,
"Process Create (rule: ProcessCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Windows\SysWOW64\cmd.exe",5720,,,"""C:\WINDOWS\system32\cmd.exe""",1756,"""C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe""","MD5=4943BA1A9B41D69643F69685E35B2943,SHA256=6AEEA6272E1C304D1B8907B9258513AA27CF2F35F10B76365CA8567CABB70459,IMPHASH=392B4D61B1D1DADC1F06444DF258188A"
"Process Create (rule: ProcessCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\AppData\Local\Temp\InstallFlashPlayer.exe",7816,,,"""C:\Users\student\AppData\Local\Temp\InstallFlashPlayer.exe""",1756,"""C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe""","MD5=2FF9B590342C62748885D459D082295F,SHA256=672EC8DCEAFD429C1A09CFAFBC4951968953E2081E0D97243040DB16EDB24429,IMPHASH=843D987BE462AF4B31FEF46A49EA7204"
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,"C:\Users\student\AppData\Local\Temp\InstallFlashPlayer.exe",,,,,
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,"C:\Users\student\AppData\Local\Temp\msimg32.dll",,,,,
"Registry value set (rule: RegistryEvent)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,,"HKU\S-1-5-21-1552841522-3835366585-4197357653-1001\Software\Microsoft\Windows\CurrentVersion\Run\Google Update",,,,
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,"C:\Users\student\AppData\Local\Google\Desktop\Install\{3be6f3ea-f161-fd6c-0169-b17b29e868a5}\❤≸⋙\Ⱒ☠⍨\‮ﯹ๛\{3be6f3ea-f161-fd6c-0169-b17b29e868a5}\GoogleUpdate.exe",,,,,
"CreateRemoteThread detected (rule: CreateRemoteThread)",COMP10,"COMP10.RedAD19.Lab",,,,,,,,
"Registry value set (rule: RegistryEvent)",COMP10,"COMP10.RedAD19.Lab","C:\WINDOWS\system32\svchost.exe",8032,,"HKU\S-1-5-21-1552841522-3835366585-4197357653-1001\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",,,,
"Process Create (rule: ProcessCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,,,"""C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe""",2376,"C:\WINDOWS\Explorer.EXE","MD5=EA039A854D20D7734C5ADD48F1A51C34,SHA256=69E966E730557FDE8FD84317CDEF1ECE00A8BB3470C0B58F3231E170168AF169,IMPHASH=308FE2649C586660C71BC787D65E54FD"
"File creation time changed (rule: FileCreateTime)",COMP10,"COMP10.RedAD19.Lab","C:\WINDOWS\Explorer.EXE",2376,"C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",,,,,
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\WINDOWS\Explorer.EXE",2376,"C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",,,,,
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,"C:\Users\student\AppData\Local\Temp\InstallFlashPlayer.exe",,,,,
"File created (rule: FileCreate)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,"C:\Users\student\AppData\Local\Temp\msimg32.dll",,,,,
"Registry value set (rule: RegistryEvent)",COMP10,"COMP10.RedAD19.Lab","C:\Users\student\Downloads\invoice_2318362983713_823931342io.pdf.exe",1756,,"HKU\S-1-5-21-1552841522-3835366585-4197357653-1001\Software\Microsoft\Windows\CurrentVersion\Run\Google Update",,,,
